date,value,series,baseline,index
2016-10-01,38585.65795262383,energia,28788.907508208606,134.02960130259152
2016-11-01,38599.2808914415,energia,28788.907508208606,134.07692139910367
2016-12-01,38623.31546364894,energia,28788.907508208606,134.16040692977404
2017-01-01,38647.365001437225,energia,28788.907508208606,134.24394444428873
2017-02-01,38689.17189282655,energia,28788.907508208606,134.38916319348024
2017-03-01,38731.02400893346,energia,28788.907508208606,134.5345390334456
2017-04-01,38786.88447865572,energia,28788.907508208606,134.72857373138032
2017-05-01,38842.8255140784,energia,28788.907508208606,134.92288827911622
2017-06-01,38895.943442183496,energia,28788.907508208606,135.10739659395918
2017-07-01,38949.13400955327,energia,28788.907508208606,135.29215722565255
2017-08-01,39004.8895466299,energia,28788.907508208606,135.4858274337378
2017-09-01,39060.724897545624,energia,28788.907508208606,135.6797748799888
2017-10-01,39141.797127519996,energia,28788.907508208606,135.96138414199797
2017-11-01,39223.03762642673,energia,28788.907508208606,136.24357789625407
2017-12-01,39307.060897732394,energia,28788.907508208606,136.53543777763966
2018-01-01,39391.26416300457,energia,28788.907508208606,136.8279228788828
2018-02-01,39456.95251460482,energia,28788.907508208606,137.05609531502515
2018-03-01,39522.75040723226,energia,28788.907508208606,137.28464824850718
2018-04-01,39569.640219836205,energia,28788.907508208606,137.447522829943
2018-05-01,39616.585662539284,energia,28788.907508208606,137.6105906458707
2018-06-01,39651.77288203476,energia,28788.907508208606,137.73281556699857
2018-07-01,39686.99135461257,energia,28788.907508208606,137.8551490475857
2018-08-01,39723.93093863367,energia,28788.907508208606,137.98346091218346
2018-09-01,39760.90490502602,energia,28788.907508208606,138.11189220601358
2018-10-01,39800.1803770332,energia,28788.907508208606,138.24831791788188
2018-11-01,39839.49464500603,energia,28788.907508208606,138.3848783898679
2018-12-01,39863.346089589,energia,28788.907508208606,138.46772781573156
2019-01-01,39887.21181375586,energia,28788.907508208606,138.55062684258783
2019-02-01,39903.911937041645,energia,28788.907508208606,138.60863572424137
2019-03-01,39920.61905239588,energia,28788.907508208606,138.6666688932648
2019-04-01,39964.18388357696,energia,28788.907508208606,138.81799395194813
2019-05-01,40007.79625646858,energia,28788.907508208606,138.96948414961952
2019-06-01,40064.26119792567,energia,28788.907508208606,139.16561851644462
2019-07-01,40120.805831090685,energia,28788.907508208606,139.36202969720543
2019-08-01,40189.53787724349,energia,28788.907508208606,139.6007745892553
2019-09-01,40258.38767013811,energia,28788.907508208606,139.8399284816876
2019-10-01,40351.08028460376,energia,28788.907508208606,140.1619018474335
2019-11-01,40443.98631846538,energia,28788.907508208606,140.4846165382745
2019-12-01,40524.96702995147,energia,28788.907508208606,140.7659079053158
2020-01-01,40606.109888550884,energia,28788.907508208606,141.04776250009778
2020-02-01,40593.79819938075,energia,28788.907508208606,141.00499710802225
2020-03-01,40581.49024308957,energia,28788.907508208606,140.9622446823261
2020-04-01,40625.347526523685,energia,28788.907508208606,141.1145855914822
2020-05-01,40669.25220746092,energia,28788.907508208606,141.26709113871328
2020-06-01,40729.92619164014,energia,28788.907508208606,141.47784586833237
2020-07-01,40790.69069463041,energia,28788.907508208606,141.68891502048044
2020-08-01,40831.26088302761,energia,28788.907508208606,141.82983800752203
2020-09-01,40871.87142230288,energia,28788.907508208606,141.97090115576302
2020-10-01,40993.816504482005,energia,28788.907508208606,142.39448472573474
2020-11-01,41116.12542131197,energia,28788.907508208606,142.819332097227
2020-12-01,41264.17659098048,energia,28788.907508208606,143.33359673066718
2021-01-01,41412.76086411175,energia,28788.907508208606,143.8497131310165
2021-02-01,41506.817177714154,energia,28788.907508208606,144.17642338765125
2021-03-01,41601.08711122374,energia,28788.907508208606,144.50387566586883
2021-04-01,41660.97015273873,energia,28788.907508208606,144.71188300862025
2021-05-01,41720.939393411245,energia,28788.907508208606,144.9201897693246
2021-06-01,41752.661327107315,energia,28788.907508208606,145.03037781201783
2021-07-01,41784.40738013265,energia,28788.907508208606,145.14064963465052
2021-08-01,41824.73917986501,energia,28788.907508208606,145.2807445643413
2021-09-01,41865.10990928842,energia,28788.907508208606,145.42097471865296
2021-10-01,41936.30737373427,energia,28788.907508208606,145.6682833892774
2021-11-01,42007.62591940873,energia,28788.907508208606,145.91601264282454
2021-12-01,42086.31240619795,energia,28788.907508208606,146.18933488253361
2022-01-01,42165.14628439681,energia,28788.907508208606,146.4631690951601
2022-02-01,42229.56208630475,energia,28788.907508208606,146.68692125348556
2022-03-01,42294.07629639823,energia,28788.907508208606,146.91101523855633
2022-04-01,42333.828627205585,energia,28788.907508208606,147.04909734811892
2022-05-01,42373.61832134951,energia,28788.907508208606,147.18730924147602
2022-06-01,42401.22221586566,energia,28788.907508208606,147.28319302764706
2022-07-01,42428.84409267887,energia,28788.907508208606,147.3791392764074
2022-08-01,42477.827912955276,energia,28788.907508208606,147.54928751931115
2022-09-01,42526.86828472867,energia,28788.907508208606,147.7196321972376
2022-10-01,42630.21730866091,energia,28788.907508208606,148.07862124155187
2022-11-01,42733.8174919468,energia,28788.907508208606,148.43848270297187
2022-12-01,42860.60478484647,energia,28788.907508208606,148.87888598282376
2023-01-01,42987.76824394395,energia,28788.907508208606,149.3205958985655
2023-02-01,43147.067421183776,energia,28788.907508208606,149.87393116213673
2023-03-01,43306.95691117788,energia,28788.907508208606,150.42931691252866
2023-04-01,43581.06091195582,energia,28788.907508208606,151.38143362866242
2023-05-01,43856.89980727731,energia,28788.907508208606,152.33957660523365
2023-06-01,44150.32215185521,energia,28788.907508208606,153.35879674929168
2023-07-01,44445.70762361893,energia,28788.907508208606,154.38483593358342
2023-08-01,44742.64963063725,energia,28788.907508208606,155.41628183660578
2023-09-01,45041.575508770395,energia,28788.907508208606,156.45461883514562
2023-10-01,45347.805533261264,energia,28788.907508208606,157.5183272249258
2023-11-01,45656.11756369525,energia,28788.907508208606,158.5892675874459
2023-12-01,45974.76614287771,energia,28788.907508208606,159.6961125731113
2003-01-01,70.23938,ibc,77.53521833333333,90.59029110878667
2003-02-01,71.46577,ibc,77.53521833333333,92.1720110373069
2003-03-01,71.0719,ibc,77.53521833333333,91.66402252774121
2003-04-01,70.59053,ibc,77.53521833333333,91.04318207568943
2003-05-01,69.89798,ibc,77.53521833333333,90.14997507261808
2003-06-01,70.02951,ibc,77.53521833333333,90.31961411256317
2003-07-01,69.1619,ibc,77.53521833333333,89.20062584033049
2003-08-01,69.69093,ibc,77.53521833333333,89.88293513328384
2003-09-01,71.25807,ibc,77.53521833333333,91.90413276925705
2003-10-01,71.13821,ibc,77.53521833333333,91.74954495409838
2003-11-01,71.32987,ibc,77.53521833333333,91.99673584891993
2003-12-01,71.15918,ibc,77.53521833333333,91.77659072820049
2004-01-01,72.46354,ibc,77.53521833333333,93.45887141049946
2004-02-01,73.23877,ibc,77.53521833333333,94.45871382619654
2004-03-01,74.04924,ibc,77.53521833333333,95.50400655564457
2004-04-01,74.42395,ibc,77.53521833333333,95.98728371414703
2004-05-01,74.34963,ibc,77.53521833333333,95.89143049854056
2004-06-01,74.96504,ibc,77.53521833333333,96.68514722911617
2004-07-01,75.25411,ibc,77.53521833333333,97.05797135499564
2004-08-01,75.60603,ibc,77.53521833333333,97.51185541899228
2004-09-01,76.37895,ibc,77.53521833333333,98.50871854340772
2004-10-01,75.84789,ibc,77.53521833333333,97.8237910853887
2004-11-01,76.6859,ibc,77.53521833333333,98.90460315764894
2004-12-01,76.1094,ibc,77.53521833333333,98.16107007372628
2005-01-01,76.59363,ibc,77.53521833333333,98.78559917212677
2005-02-01,77.06614,ibc,77.53521833333333,99.3950125589165
2005-03-01,77.17571,ibc,77.53521833333333,99.5363289856388
2005-04-01,77.71617,ibc,77.53521833333333,100.23337996662205
2005-05-01,77.64835,ibc,77.53521833333333,100.14591003817168
2005-06-01,77.15862,ibc,77.53521833333333,99.51428738910066
2005-07-01,77.15349,ibc,77.53521833333333,99.50767104092976
2005-08-01,77.74587,ibc,77.53521833333333,100.27168514024305
2005-09-01,77.55035,ibc,77.53521833333333,100.01951586258726
2005-10-01,77.57973,ibc,77.53521833333333,100.05740832053287
2005-11-01,78.20956,ibc,77.53521833333333,100.86972305123021
2005-12-01,78.825,ibc,77.53521833333333,101.66347847390038
2006-01-01,79.44975,ibc,77.53521833333333,102.46924134325108
2006-02-01,79.49232,ibc,77.53521833333333,102.52414542544119
2006-03-01,79.38171,ibc,77.53521833333333,102.38148767277391
2006-04-01,79.88756,ibc,77.53521833333333,103.03390087399207
2006-05-01,80.89624,ibc,77.53521833333333,104.33483227224205
2006-06-01,79.95561,ibc,77.53521833333333,103.1216674418341
2006-07-01,81.46613,ibc,77.53521833333333,105.06984019799519
2006-08-01,81.46537,ibc,77.53521833333333,105.06885999826616
2006-09-01,81.66331,ibc,77.53521833333333,105.32415043821699
2006-10-01,82.53214,ibc,77.53521833333333,106.44471218896203
2006-11-01,83.13073,ibc,77.53521833333333,107.21673555185063
2006-12-01,84.17098,ibc,77.53521833333333,108.55838393094956
2007-01-01,83.90432,ibc,77.53521833333333,108.21446279971138
2007-02-01,84.10084,ibc,77.53521833333333,108.46792181385271
2007-03-01,83.58047,ibc,77.53521833333333,107.79678163886427
2007-04-01,84.71139,ibc,77.53521833333333,109.25537042510854
2007-05-01,85.43905,ibc,77.53521833333333,110.19386007618775
2007-06-01,85.956,ibc,77.53521833333333,110.86058935239558
2007-07-01,86.58459,ibc,77.53521833333333,111.67130480985084
2007-08-01,86.73713,ibc,77.53521833333333,111.86804121335743
2007-09-01,87.42676,ibc,77.53521833333333,112.75748218589096
