date,value,series
2002-01-01,114.94,pib
2002-04-01,115.2,pib
2002-07-01,116.8,pib
2002-10-01,117.99,pib
2003-01-01,117.47,pib
2003-04-01,116.48,pib
2003-07-01,117.58,pib
2003-10-01,118.8,pib
2004-01-01,120.44,pib
2004-04-01,123.76,pib
2004-07-01,125.34,pib
2004-10-01,126.29,pib
2005-01-01,127.41,pib
2005-04-01,128.75,pib
2005-07-01,128.02,pib
2005-10-01,129.64,pib
2006-01-01,131.74,pib
2006-04-01,132.14,pib
2006-07-01,134.36,pib
2006-10-01,135.93,pib
2007-01-01,138.48,pib
2007-04-01,140.8,pib
2007-07-01,142.27,pib
2007-10-01,144.42,pib
2008-01-01,146.25,pib
2008-04-01,149.19,pib
2008-07-01,151.64,pib
2008-10-01,145.92,pib
2009-01-01,143.82,pib
2009-04-01,146.47,pib
2009-07-01,149.9,pib
2009-10-01,153.76,pib
2010-01-01,156.93,pib
2010-04-01,158.94,pib
2010-07-01,160.34,pib
2010-10-01,162.63,pib
2011-01-01,164.81,pib
2011-04-01,166.48,pib
2011-07-01,166.11,pib
2011-10-01,167.62,pib
2012-01-01,165.23,pib
2012-04-01,168.21,pib
2012-07-01,171.11,pib
2012-10-01,171.16,pib
2013-01-01,172.08,pib
2013-04-01,174.45,pib
2013-07-01,175.28,pib
2013-10-01,175.56,pib
2014-01-01,177.04,pib
2014-04-01,174.43,pib
2014-07-01,174.32,pib
2014-10-01,175.24,pib
2015-01-01,173.85,pib
2015-04-01,169.75,pib
2015-07-01,166.96,pib
2015-10-01,165.68,pib
2016-01-01,163.3,pib
2016-04-01,163.75,pib
2016-07-01,162.86,pib
2016-10-01,162.68,pib
2017-01-01,164.36,pib
2017-04-01,165.73,pib
2017-07-01,166.11,pib
2017-10-01,167.01,pib
2018-01-01,168.03,pib
2018-04-01,167.84,pib
2018-07-01,169.44,pib
2018-10-01,169.02,pib
2019-01-01,169.52,pib
2019-04-01,170.5,pib
2019-07-01,170.53,pib
2019-10-01,172.03,pib
2020-01-01,168.09,pib
2020-04-01,153.17,pib
2020-07-01,165.3,pib
2020-10-01,171.65,pib
2021-01-01,173.15,pib
